,outs,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
21,F,,,,,,,,,,,,0,0,0,0.009608785,0,0,0,0,0.012850467,0.008797654,0.000561798,0.023762376,0.027898867,0.20995671,0,0.000360101,0,0.007134364,0.006121134,0,0.029315961,0,0.000603136,0,0,0.00039984,0,0.024390244,0.016778143,0.008440914,0.000114995,0,0,0,0.003869152,0.000419375,0.001363791,0.125450377,0,0,0.522522523,0.04548326,0,0
22,F,,,,,,,,,,,,,0,0,0,0.00143575,0,0,0,0.041896638,0.001324503,0,0,0.11005291,0,0,0,0.002863962,0,0.254342432,0,0,0,0.000467071,0.003215434,0.081954887,0,0,0.00092115,0.000625,0.000345981,0.002266388,0,0,0,0.013622683,0.235630132,0.000211416,0.029616088,0.000249688,0.004629119,0.05076435,0,0,0
23,F,,,,,,,,,,,,,,0,0,0,0.007246377,0.070500928,0,0,0.009156493,0.006944444,0.01320132,0.000604961,0.006849315,0,0,0,0.017266187,0,0,0,0.514472966,0,0,0.052903226,0,0,0.00120048,0,0,0.003924133,0.000534093,0,0,0.004891905,0,0.116431925,0.192307692,0,0.00324797,0.176058803,0,0,0
24,F,,,,,,,,,,,,,,,0,0,0.001293661,0,0,0,0,0.000565931,0.003003003,0,0,0,0.0625,0,0,0.000489716,0,0,0.026775753,0.010404624,0,0,0.011004127,0,0.01300813,0,0,0.000687994,0.000265851,0,0,0.017709563,0.001552313,0.000555247,0.004784689,0.00030175,0,0.101140494,0.000291715,0,0
25,F,,,,,,,,,,,,,,,,0,0,0,0,0.003030303,0,0,0.023878021,0.047377327,0,0,0,0,0,0,0,0,0.013400335,0.03625731,0.018691589,0,0,0,0,0,0,0.001233654,0.03892525,0,0,0,0.006436956,0,0.025741466,0,0,0.571501079,0,0,0
26,F,,,,,,,,,,,,,,,,,0,0,0,0,0.006134969,0,0,0.004159239,0,0.037735849,0,0,0,0,0,0.240460763,0.000873362,0,0.00040833,0,0,0,0.027941176,0,0,0.003630496,0.000247036,0.201306185,0,0,0,0.001165954,0.069061737,0,0,0.29205678,0,0.000172771,0
27,F,,,,,,,,,,,,,,,,,,0,0,0,0,0.00617284,0.004807692,0,0,0.007984032,0,0.001358696,0,0.062706271,0,0,0,0.006930693,0,0.089460784,0.001191895,0,0.566744731,0,0,0.051056338,0,0,0,0,0.030380746,0,0.001557026,0,0,0.222713864,0,0,0
28,F,,,,,,,,,,,,,,,,,,,0,0.151515152,0,0,0.00623053,0,0.005540166,0.000300571,0,0,0.001367989,0.001841621,0,0,0,0.095890411,0.000997009,0,0.001797753,0,0,0,0,0,0,0,0,0.00862069,0.164278574,0.327810403,0.251730104,0,0,0.061825605,0,0,0
29,F,,,,,,,,,,,,,,,,,,,,0,0,0.004524887,0,0.01369863,0,0,0,0,0,0,0,0.267605634,0,0.273684211,0.003554502,0.095808383,0,0,0.004950495,0,0,0,0,0,0.00674974,0,0,0,0.113475177,0,0.005068226,0.073068095,0,0,0.125688533
30,F,,,,,,,,,,,,,,,,,,,,,0,0,0,0.189542484,0,0,0,0,0,0.061946903,0,0.001865672,0,0,0.037900875,0,0.030373832,0,0.301450589,0.263157895,0,0,0,0,0,0,0,0.003028009,0.000398724,0,0,0.026698076,0,0,0.003112033
31,F,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.002688172,0.062992126,0,0.00591716,0.016894087,0.004264392,0,0.033240997,0,0,0.009584665,0,0.00476758,0,0,0.003919007,0,0,0,0,0,0.122752635,0,0.036923077,0.177946768,0,0.000363636,0.168793503,0.011607143,0,0
32,F,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.17547918,0,0,0,0,0,0,0,0.009580838,0.004819277,0,0,0.023765996,0,0,0,0,0.185788305,0,0.002006018,0.000925069,0,0.098788101,0,0,0
33,F,,,,,,,,,,,,,,,,,,,,,,,,0,0.033333333,0,0,0.02173913,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0.004728132,0,0.111664296,0,0,0.001206273,0,0,0.235294118
34,F,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.005633803,0,0,0,0,0.000832639,0,0.004950495,0,0,0,0,0,0,0,0.005012531,0,0,0,0,0,0,0.016363636,0,0,0.506024096,0,0,0
35,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.008130081,0,0.014437367,0.372727273,0,0,0.173160173,0,0,0,0,0.004893964,0,0,0,0,0,0,0.007125891,0,0,0.115053763,0,0,0
36,F,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.068965517,0,0.027355623,0,0,0.006329114,0,0,0,0.319148936,0,0,0,0,0.006756757,0,0,0,0,0,0,0,0,0,0.252201761,0.001171875,0,0.005617978
37,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00617284,0.075630252,0,0.028608583,0,0.815920398,0,0,0,0,0,0.012430939,0,0,0.001429593,0,0,0,0,0,0.932282004,0,0,0
38,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.001579779,0.075862069,0.036363636,0,0,0.00390625,0,0.578125,0,0,0,0,0.005617978,0,0,0,0,0,0,0,0.002392344,0,0,0
